layer,zone,field,when,verdict,quote,text
or/multnomah/troutdale,LDR-2,min_lot_sqft,unit_lots,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L343-L344,L345",MDR HDR | Dimensional Standard LDR-1 LDR-2 MDR (TC) HDR (TC) | Minimum lot size (sq. ft.) none none none none none none
or/multnomah/troutdale,LDR-2,min_lot_width_ft,unit_lots,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L343-L344,L346",MDR HDR | Dimensional Standard LDR-1 LDR-2 MDR (TC) HDR (TC) | Minimum lot width (ft.) none none none none none none
or/multnomah/troutdale,MDR,max_density_du_per_acre,,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L506,L519-L522","B. Maximum density. | 4. Other residential development. Maximum density standards shall not apply to duplex, | triplex, quadplex, cottage cluster projects, or vertical mixed-use development on a | dwelling units per net acre calculation and are instead regulated by development | provisions of the co"
or/multnomah/troutdale,MDR,min_lot_depth_ft,unit_lots,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L343-L344,L347",MDR HDR | Dimensional Standard LDR-1 LDR-2 MDR (TC) HDR (TC) | Minimum lot depth (ft.) none none none none none none
or/multnomah/troutdale,MDR,min_lot_sqft,unit_lots,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L343-L344,L345",MDR HDR | Dimensional Standard LDR-1 LDR-2 MDR (TC) HDR (TC) | Minimum lot size (sq. ft.) none none none none none none
or/multnomah/troutdale,MDR,min_lot_width_ft,unit_lots,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L343-L344,L346",MDR HDR | Dimensional Standard LDR-1 LDR-2 MDR (TC) HDR (TC) | Minimum lot width (ft.) none none none none none none
or/multnomah/troutdale,MU-2,max_density_du_per_acre,,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L506,L519-L522,L710","B. Maximum density. | 4. Other residential development. Maximum density standards shall not apply to duplex, | triplex, quadplex, cottage cluster projects, or vertical mixed-use development on a | dwelling units per net acre calculation and are instead regulated by development | provisions of the co"
or/multnomah/troutdale,MU-2,min_lot_depth_ft,inside_mapped_use_area,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L684,L687,L732-L734",Dimensional Standard MU-1 MU-2 MU-3 | Minimum lot depth (ft.) see 3.235.B see 3.235.B see 3.235.B | 3. There is no minimum lot depth for lots within the area between Historic Columbia | River Highway and 2nd Street extended west to its intersection with 257th Avenue | from 257th Avenue to the SE San
or/multnomah/troutdale,MU-3,max_density_du_per_acre,,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L506,L519-L522,L710","B. Maximum density. | 4. Other residential development. Maximum density standards shall not apply to duplex, | triplex, quadplex, cottage cluster projects, or vertical mixed-use development on a | dwelling units per net acre calculation and are instead regulated by development | provisions of the co"
or/multnomah/troutdale,MU-3,min_lot_depth_ft,inside_mapped_use_area,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L684,L687,L732-L734",Dimensional Standard MU-1 MU-2 MU-3 | Minimum lot depth (ft.) see 3.235.B see 3.235.B see 3.235.B | 3. There is no minimum lot depth for lots within the area between Historic Columbia | River Highway and 2nd Street extended west to its intersection with 257th Avenue | from 257th Avenue to the SE San
