layer,ref,mentions,binding,sources,sample,ruling
or/clackamas/_unincorporated,1000,1,1,zdo.315.txt,"Permitted uses are subject to the applicable provisions of Subsection 315.04, Dimensional and Building Design Standards; Section 1000, Development Standards; an",
or/clackamas/_unincorporated,1100,1,1,zdo.315.txt,"Permitted uses are subject to the applicable provisions of Subsection 315.04, Dimensional and Building Design Standards; Section 1000, Development Standards; an",
or/clackamas/_unincorporated,315.04,1,1,zdo.315.txt,"Permitted uses are subject to the applicable provisions of Subsection 315.04, Dimensional and Building Design Standards; Section 1000, Development Standards; an",
or/clackamas/_unincorporated,846,1,1,zdo.315.txt,"Dwellings not otherwise permitted in the applicable zoning district may nonetheless be permitted if they are developed as affordable housing, as defined in ORS ",
or/clackamas/_unincorporated,903,1,1,zdo.315.txt,"Modifications: Modifications to the standards in Tables 315-2 through 315-4 are established by Sections 800, Special Use Requirements; 904, Height Exceptions; 1",
or/clackamas/gladstone,17.18.020,1,1,17.12.r-5.txt,(7) Mixed-use development within Gladstone Town Center. Commercial uses permitted in the mixed-use development include those listed as permitted in the C-2 zoni,
or/clackamas/happy-valley,1012,1,1,16.22.residential.txt,"Each lot for an attached single-family (townhouse) dwelling in the SFA and VTH zones shall have a minimum size of 2,000 square feet and a maximum size of 3,000 ",
or/clackamas/happy-valley,16.32.090,1,1,16.63.land-divisions.txt,No density is allowed within constrained land except for the reduced rate within the Steep Slopes Development Overlay Zone and the Natural Resources Overlay Zon,
or/clackamas/happy-valley,16.34.050,1,1,16.63.land-divisions.txt,No density is allowed within constrained land except for the reduced rate within the Steep Slopes Development Overlay Zone and the Natural Resources Overlay Zon,
or/clackamas/happy-valley,16.65,1,1,16.63.land-divisions.txt,"Lot Size Averaging. Single-family residential lot size may be averaged to allow lots less than the minimum lot size in residential districts, as provided by Sec",
or/clackamas/milwaukie,19.904.8,1,1,19.300.base-zones.txt,"Residential care facility Examples include: assisted living, nursing facilities, and memory care communities  CSU                                               ",
or/clackamas/oregon-city,16.08,1,1,17.zoning.txt,to OCMC 16.08 . 065 .,
or/clackamas/oregon-city,16.08.065,1,1,17.zoning.txt,to OCMC 16.08.065.,
or/clackamas/rivergrove,5.020,1,1,rldo.composite.txt,Section 5.020.  Flood Hazard District.  All land development within the 100-year flood boundary as,
or/clackamas/rivergrove,5.030,1,1,rldo.composite.txt,Section 5.030.  Change in Classification.  The land use classifications of this ordinance may be,
or/multnomah/_unincorporated,0.7,1,1,33.110.txt,- 3 total dwelling units [2]                                                                                 NA                            0.7 to 1             ,
or/multnomah/_unincorporated,33.251,1,1,33.110.txt,(See Chapter 33.251)                                                               Yes                                  Yes                                   Ye,
or/multnomah/_unincorporated,39.8870,1,1,39.efu.txt,(F) A Farm Stands subject to MCC 39.8870,
or/multnomah/_unincorporated,39.8885,1,1,39.efu.txt,through MCC 39.8885.,
or/multnomah/_unincorporated,39.8900,1,1,39.efu.txt,"ORS 215.452, and subject to MCC 39.8900 –",
or/multnomah/_unincorporated,39.9610,1,1,39.mr-4.txt,as required under MCC 39.9610.,
or/multnomah/fairview,16.85.050,1,1,19.65.txt,"1. New land divisions and developments with more than one building, which are subject to site design review, shall be configured to provide an alley or interior",
or/multnomah/fairview,19.110,1,1,19.115.txt,"All uses shall comply with the standards in this chapter and any other applicable Fairview Village standards in Chapters 19.110 through 19.155 FMC, together wit",
or/multnomah/fairview,19.164,1,1,19.13.definitions.txt,"“Off-street parking” means all off-street areas designed, used, required or intended to be used for the parking of motor vehicles. Off-street parking areas shal",
or/multnomah/fairview,19.164.030,1,1,19.65.txt,ii. If the number of vehicle parking spaces on the site exceeds the maximum number of spaces allowed in transit/pedestrian areas as provided in FMC 19.164.030(D,
